id,name,category,state,lng,lat
949ecdb5-6462-49cf-ace6-7b23dde645d0,"32",campground,CA,-118.4921039,33.4394752
95408bf6-9d3d-40fd-b28a-e937b81f09f4,"72",campground,AZ,-111.5338772,31.5913766
9588af18-6b98-4835-a823-b3368327869b,"302-009A",dispersed_camping,WA,-117.054879585215,48.7086839292215
95934be5-e60d-410c-aa2a-42253799bc3c,"302-001",dispersed_camping,WA,-117.083086220626,48.7890661114543
9657e178-d3af-4528-9fdb-3e06c42e1529,"7",campground,CA,-118.4064825,33.3855299
9866adc2-b785-4fb9-b6e7-5e2f7f62a360,"1",campground,CA,-118.4055738,33.3852083
9ad1198e-c0c5-4839-a203-910a87f40cc5,"311-001",dispersed_camping,WA,-117.041914918808,48.692854729583
9c9a9763-9b72-4e41-9c7b-bd8b73046242,"711",grocery,CA,-117.582165,33.9084722
9cc583f1-c0ae-4364-af48-3f34a26f7ac8,"SC23",campground,UT,-113.640903,37.2053868
9cdadc9b-600a-41dd-83ae-1bf91c27aeff,"2",picnic_area,WA,-122.7800039,48.6433015
9d92fcf4-b9ff-4a8a-a8da-7ebfa4a5feca,"LC1",dispersed_camping,UT,-109.7769405,38.1208846
9e59ad42-985f-45ba-94b3-c9d9515d949f,"33",campground,CA,-118.4916265,33.4401333
9f5386ff-8c34-46fb-bdda-fe7cc5c0f919,"14",campground,CA,-118.471655,33.3865534
9f70c49c-1467-4569-a87f-12d578cd40c5,"32",campground,AZ,-111.4389501,31.6519591
a09e459d-6e1e-49a2-afc3-c4affb68ffae,"SC2",dispersed_camping,UT,-109.7416204,37.9860924
a1f2626d-7915-41f6-9c76-2362f7e2ff50,"302-002",dispersed_camping,WA,-117.074670498438,48.7867440322192
a2709d55-2778-42d6-8345-1b2160dca7b7,"7-Eleven",grocery,AZ,-112.0045374,33.6401882
a30e5874-3318-4f92-8765-2343a78d1325,"CP2",dispersed_camping,UT,-109.8502283,38.1054675
a43723b3-5792-4409-b0bc-d21e83533175,"SC16A",campground,UT,-113.6407498,37.2010388
a59da702-0fc7-40c9-86cd-39a3d2c04d37,"5",campground,CA,-118.4918813,33.4415892
a5c80621-e20b-444b-b124-2f55147ef180,"7-Eleven",grocery,CA,-117.3163472,34.1687751
aaa85f06-ecb0-4fdb-b805-76405f2a4111,"302-008",dispersed_camping,WA,-117.055869925558,48.7093051491549
abd52f30-6614-4c85-96c8-6d25ff525896,"12",campground,AZ,-111.3993905,31.6905193
acc6a202-ddac-45bb-a5f4-9e921b95d81f,"B1",picnic_area,UT,-111.503701,40.023626
ad5da0f9-52cb-4813-8ce1-5da6d2f59195,"2",campground,CA,-118.4923966,33.4416829
af98d97f-33ad-430c-b6a7-d0b365e58500,"2",campground,CA,-118.4056798,33.3851165
afce3c52-b94b-4e50-bdc8-031d6ca0ae11,"3",campground,OR,-122.6305416,42.6891558
affff7db-62e7-4b23-9bb3-98576c24acaa,"4",campground,CA,-121.010036,35.9785693
b03823f7-6f4f-4b7a-b0b1-1e2c7f261a0b,"39",campground,CA,-118.4911209,33.4406257
b0c6e924-231f-47f1-a935-2759219a5643,"26",campground,AZ,-111.4363968,31.6753912
b1bfb0d4-b849-4927-89b6-3ebc82281edf,"14",campground,AZ,-111.4164975,31.6908594
b3a6b73c-8097-4c00-aa62-576199ffb391,"45",campground,AZ,-111.4238441,31.6381193
b567ab0d-f74b-4b6d-bd2a-b59aaad6f732,"4",campground,CA,-118.4731614,33.3876194
b5d05b4f-48d1-485f-b261-a264a82af794,"43",campground,CA,-116.5840098,32.9034895
b6f625a5-f498-4ffd-93e7-d49d1e50d127,"57",campground,AZ,-111.3947222,31.6161308
b7423568-1c38-422f-ba3e-5c568ca31a12,"DP1",dispersed_camping,UT,-109.8632724,38.1299571
b7bdd6fe-e9e6-4fc1-b779-1dca3ccb5bdb,"4",campground,AZ,-111.4612694,31.7526293
bbb71014-89ce-4442-871e-4e7d4badd4ef,"2",campground,CA,-118.5484322,33.4732211
bdb77a66-4fde-41e7-969d-54559e47bf2f,"1",campground,AZ,-111.4099047,31.7686798
be941304-8bfb-4686-9cf1-06eab934b919,"9",campground,CA,-116.5802228,32.9069978
c08870e5-dd8c-47c4-9d59-c19acffc1e8d,"6",campground,CA,-118.5502347,33.4729929
c215e1ee-5f8b-4cf6-af08-451154ec6dbb,"73",campground,AZ,-111.548411,31.5928887
c3598d01-6136-4563-b9f2-264a209f3e17,"49",campground,AZ,-111.4068175,31.6318655
c444fa2b-88c6-4e52-907b-60ad68cc3555,"7",campground,CA,-116.5801772,32.9067691
c50171ac-4d89-4b75-8e83-1e4d5139df4e,"12",campground,CA,-116.5803727,32.9074868
c56ec503-3a66-49ab-9e1c-578011c634c9,"BS2",dispersed_camping,UT,-109.8124672,38.1267861
c73bd9af-81de-458b-97cd-52fe40eeda22,"16",campground,AZ,-111.4320806,31.6893496
ca099428-90f0-4f65-a4b1-c32a03f8c32a,"GLEASON-002",dispersed_camping,WA,-117.077654335478,48.5707993975948
ca17cb1c-2179-4f6f-b1c7-60e22437cef8,"3",campground,CA,-116.1191141,33.9992662
ca286584-0b2a-48fc-ab20-6d5285495500,"37",campground,AZ,-111.4398491,31.6445676
cafcc435-41f4-41dc-bb4e-7a731cc4bdf4,"311C-001",dispersed_camping,WA,-117.087443064207,48.6391685210767
cbf15463-d366-4018-8b16-91590995678a,"3",campground,CA,-118.4057817,33.3850437
cf835846-2425-407a-80aa-9e2dc0d04131,"35",campground,AZ,-111.4395703,31.6494532
d08cdb0e-f591-488c-ba30-b1f6117d27f9,"76",campground,AZ,-111.4780772,31.5557761
d0ef2cff-1d17-4942-baa0-6155039ede2e,"8",campground,CA,-116.5805154,32.9067816
d2611c1c-e7ac-4b77-a8bd-f7dc4875c41b,"7",campground,CA,-121.010502,35.9794007
d2e8fd99-439b-40be-923a-9562cb1fa1d2,"23",campground,AZ,-111.416527,31.6854776
